HOSPITAL_ID,PAYOR1,APRDRG,SEVERITY,PATS,PWC,TD,TC,XC,XD
1,1,245,4,8,8,188,1447308,180913.5,23.5
1,1,246,1,1,1,4,25969,25969,4
1,1,246,3,2,2,15,81654,40827,7.5
1,1,247,1,12,12,45,226016,18834.6667,3.75
1,1,247,2,27,27,110,630718,23359.9259,4.07
1,1,247,3,18,18,91,658934,36607.4444,5.06
1,1,247,4,3,3,26,265590,88530,8.67
1,1,248,1,2,2,7,42131,21065.5,3.5
1,1,248,2,6,6,29,179972,29995.3333,4.83
1,1,248,3,12,12,74,610006,50833.8333,6.17
1,1,248,4,2,2,19,251453,125726.5,9.5
1,1,249,1,2,2,5,30343,15171.5,2.5
1,1,249,2,18,18,59,509898,28327.6667,3.28
1,1,249,3,22,22,147,1333453,60611.5,6.68
1,1,249,4,1,1,4,28698,28698,4
1,1,251,1,1,1,1,7693,7693,1
1,1,251,2,9,9,33,208471,23163.4444,3.67
1,1,251,3,9,9,29,270686,30076.2222,3.22
1,1,251,4,1,1,2,8233,8233,2
1,1,252,1,4,4,14,97928,24482,3.5
1,1,252,2,17,17,69,651238,38308.1176,4.06
1,1,252,3,14,14,100,966112,69008,7.14
1,1,252,4,13,13,148,1646451,126650.0769,11.38
1,1,253,1,3,3,4,78023,26007.6667,1.33
1,1,253,2,18,18,76,704660,39147.7778,4.22
1,1,253,3,33,33,167,1936149,58671.1818,5.06
1,1,253,4,10,10,107,1372722,137272.2,10.7
1,1,254,1,6,6,21,192710,32118.3333,3.5
1,1,254,2,20,20,101,710572,35528.6,5.05
1,1,254,3,31,31,176,1514185,48844.6774,5.68
1,1,254,4,18,18,201,2149240,119402.2222,11.17
1,1,260,1,30,30,121,2602013,86733.7667,4.03
1,1,260,2,90,90,546,9655778,107286.4222,6.07
1,1,260,3,75,75,677,10450274,139336.9867,9.03
1,1,260,4,22,22,431,7913175,359689.7727,19.59
1,1,261,1,2,2,12,153354,76677,6
1,1,261,2,17,17,106,1632838,96049.2941,6.24
1,1,261,3,4,4,40,572980,143245,10
1,1,261,4,1,1,9,124578,124578,9
1,1,263,1,9,9,29,520323,57813.6667,3.22
1,1,263,2,23,23,101,1609854,69993.6522,4.39
1,1,263,3,18,18,127,1687065,93725.8333,7.06
1,1,263,4,3,3,141,1319830,439943.3333,47
1,1,264,1,1,1,5,81812,81812,5
1,1,264,2,5,5,15,224747,44949.4,3
1,1,264,3,3,3,21,278708,92902.6667,7
1,1,264,4,3,3,58,1068597,356199,19.33
1,1,279,1,1,1,1,8617,8617,1
1,1,279,2,18,18,85,742158,41231,4.72
1,1,279,3,32,32,180,1705733,53304.1562,5.63
1,1,279,4,27,27,422,5100875,188921.2963,15.63
1,1,280,1,1,1,1,5543,5543,1
1,1,280,2,3,3,9,98862,32954,3
1,1,280,3,14,14,69,756067,54004.7857,4.93
1,1,280,4,8,8,80,1223590,152948.75,10
1,1,281,1,3,3,5,101328,33776,1.67
1,1,281,2,12,12,40,606855,50571.25,3.33
1,1,281,3,23,23,132,1439354,62580.6087,5.74
1,1,281,4,14,14,108,1018524,72751.7143,7.71
1,1,282,1,11,11,49,447421,40674.6364,4.45
1,1,282,2,28,28,146,1286173,45934.75,5.21
1,1,282,3,53,53,289,2689862,50752.1132,5.45
1,1,282,4,20,20,384,4080662,204033.1,19.2
1,1,283,1,4,4,11,61232,15308,2.75
1,1,283,2,19,19,59,455465,23971.8421,3.11
1,1,283,3,19,19,121,1042347,54860.3684,6.37
1,1,283,4,26,26,278,3035432,116747.3846,10.69
1,1,284,1,21,21,56,814037,38763.6667,2.67
1,1,284,2,59,59,193,2660588,45094.7119,3.27
1,1,284,3,30,30,106,1470864,49028.8,3.53
1,1,284,4,11,11,107,1149065,104460.4545,9.73
1,1,301,1,7,7,22,741759,105965.5714,3.14
1,1,301,2,13,13,44,2036452,156650.1538,3.38
1,1,301,3,5,5,41,977606,195521.2,8.2
1,1,301,4,1,1,45,765032,765032,45
1,1,302,1,6,6,10,543026,90504.3333,1.67
1,1,302,2,9,9,21,960761,106751.2222,2.33
1,1,302,4,1,1,11,132043,132043,11
1,1,304,2,1,1,15,777956,777956,15
1,1,305,1,1,1,2,40745,40745,2
1,1,305,2,5,5,28,398376,79675.2,5.6
1,1,305,3,5,5,56,590979,118195.8,11.2
1,1,305,4,2,2,36,513892,256946,18
1,1,308,1,1,1,1,71392,71392,1
1,1,308,2,9,9,43,889242,98804.6667,4.78
1,1,308,3,3,3,8,228900,76300,2.67
1,1,308,4,1,1,8,124776,124776,8
1,1,309,2,3,3,20,515073,171691,6.67
1,1,309,3,2,2,18,274594,137297,9
1,1,309,4,1,1,11,171767,171767,11
1,1,310,3,1,1,8,103978,103978,8
1,1,312,1,1,1,4,67030,67030,4
1,1,312,2,1,1,3,42770,42770,3
1,1,312,3,3,3,28,385248,128416,9.33
1,1,312,4,2,2,56,905064,452532,28
1,1,313,2,2,2,6,168558,84279,3
1,1,313,3,1,1,4,175374,175374,4
1,1,313,4,2,2,24,421395,210697.5,12
1,1,314,3,1,1,4,40967,40967,4
1,1,315,1,1,1,5,63436,63436,5
1,1,315,3,3,3,8,397654,132551.3333,2.67
1,1,317,1,1,1,5,134194,134194,5
1,1,317,2,4,4,22,401521,100380.25,5.5
1,1,317,4,2,2,20,208365,104182.5,10
1,1,320,1,1,1,1,30958,30958,1
1,1,320,2,1,1,2,69151,69151,2
1,1,320,3,2,2,6,126490,63245,3
1,1,321,2,1,1,8,107743,107743,8
1,1,322,2,8,8,13,1281468,160183.5,1.63
1,1,322,3,2,2,5,351478,175739,2.5
1,1,322,4,1,1,8,211856,211856,8
1,1,343,1,2,2,11,182573,91286.5,5.5
1,1,343,2,2,2,5,43602,21801,2.5
